,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
322,北京萌宝教育科技有限公司,萌宝教育,150-500人,不需要融资,朝阳区,高级php开发工程师,5-10年,本科,25k-40k,平台发展好 升值空间大 千万级用户,"教育,文娱丨内容",开发|测试|运维类,"年底双薪,带薪年假,定期体检,专项奖金",后端开发,北京
323,厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,海淀区,php开发工程师,不限,本科,20k-30k,五险一金 发展空间大,硬件,开发|测试|运维类,"节日礼物,与大牛共事,福利健全,五险一金",后端开发,北京
324,重庆市九吨科技有限公司,九吨科技,150-500人,不需要融资,渝北区,php工程师,3-5年,大专,7k-14k,"五险一金,年终奖金，年度旅游，",移动互联网,开发|测试|运维类,"绩效奖金,定期体检,午餐补助,带薪年假",后端开发,重庆
325,钰真(上海）信息技术有限公司,钰真,150-500人,未融资,浦东新区,PHP开发工程师,3-5年,本科,11k-18k,"福利好,妹子多,氛围好,求大神","电商,其他",开发|测试|运维类,,移动前端开发,上海
326,上海谦问万答吧云计算科技有限公司,学霸君,2000人以上,上市公司,朝阳区,php工程师,3-5年,本科,15k-20k,发展空间、领导niece、全额五险一金,"移动互联网,教育",开发|测试|运维类,"帅哥多,美女多,股票期权,年底双薪",后端开发,北京
327,五五海淘（上海）科技股份有限公司,55海淘,150-500人,上市公司,徐汇区,php开发工程师,3-5年,本科,15k-25k,"平台大,发展快,氛围佳",电商,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,岗位晋升",后端开发,上海
328,五五海淘（上海）科技股份有限公司,55海淘,150-500人,上市公司,渝北区,高级php开发工程师,5-10年,本科,10k-18k,晋升快 工作氛围活跃 公司前景棒棒哒,电商,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,岗位晋升",后端开发,重庆
329,深圳市艾达通互联网技术有限公司,艾达通互联网,150-500人,未融资,南山区,php开发工程师,3-5年,本科,15k-30k,双休，14薪,"企业服务,软件开发",开发|测试|运维类,,后端开发,深圳
330,深圳市派乐地科技有限公司,派乐地科技,50-150人,A轮,宝安区,php开发工程师,3-5年,大专,10k-18k,周末双休年底双薪餐补补贴免费加班餐零食,游戏,开发|测试|运维类,"游戏发行,游戏自研,年终分红,午餐补助",后端开发,深圳
331,深圳市农博创新科技有限公司,农博创新NBI,15-50人,不需要融资,南山区,PHP开发工程师,1-3年,本科,8k-12k,"待遇好,提升空间大,年终奖,双休","硬件,移动互联网",开发|测试|运维类,"绩效奖金,股票期权,年终分红,带薪年假",后端开发,深圳
332,深圳世嘉传媒科技有限公司,世嘉传媒,150-500人,不需要融资,南山区,php工程师,3-5年,本科,15k-25k,福利待遇高,企业服务,开发|测试|运维类,,后端开发,深圳
333,广州明朝互动科技股份有限公司,明朝互动,150-500人,D轮及以上,天河区,PHP开发工程师（面向21年毕业生）,在校/应届,本科,3k-5k,导师制 有转正机会 免费两餐 下午茶,游戏,开发|测试|运维类,"技能培训,节日礼物,项目奖金,带薪年假",后端开发,广州
