,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
97,深圳市一面网络技术有限公司,一面数据,50-150人,不需要融资,南山区,高级Python爬虫工程师,3-5年,本科,18k-30k,大数据人工智能；清华系大牛；技术氛围浓,"移动互联网,数据服务",开发|测试|运维类,"海归精英团队,年度旅游,定期体检,年终分红",后端开发,深圳
98,上海亦存网络科技有限公司,坚果云,50-150人,不需要融资,浦东新区,Python后端开发工程师,1-3年,本科,20k-40k,高并发系统，前沿技术，管理扁平,"企业服务,数据服务",开发|测试|运维类,"技能培训,带薪年假,五险一金,住房补贴",后端开发,上海
99,深圳市一面网络技术有限公司,一面数据,50-150人,不需要融资,南山区,Python 工程师（数据平台方向）,1-3年,本科,10k-20k,大数据人工智能；名校系大牛；技术氛围浓,"移动互联网,数据服务",开发|测试|运维类,"海归精英团队,年度旅游,定期体检,年终分红",后端开发,深圳
100,北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,江汉区,高级python开发工程师,3-5年,本科,15k-25k,五险一金 节假日福利,"移动互联网,企业服务",开发|测试|运维类,"绩效奖金,扁平管理,岗位晋升,五险一金",后端开发,武汉
101,北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,Python后端高级开发工程师-抖音/火山,1-3年,本科,20k-40k,六险一金,文娱丨内容,开发|测试|运维类,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",后端开发,北京
102,上海心莲信息科技有限公司,大亲家,15-50人,A轮,闵行区,技术经理（python),5-10年,本科,20k-40k,"氛围好,90后团队,各种大神,租房便宜","移动互联网,社交",开发|测试|运维类,"帅哥多,美女多,弹性工作,扁平管理",后端开发,上海
103,爱客科技（深圳）有限公司,AfterShip,150-500人,不需要融资,南山区,高级 Python 工程师,5-10年,本科,25k-35k,全球项目、高薪资、高福利、国际团队,电商,开发|测试|运维类,"持续盈利,国际龙头企业,SaaS平台,极客氛围",后端开发,深圳
104,北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,5-10年,本科,20k-30k,大数据人工智能、绩效奖金、技术牛人,"数据服务,企业服务",开发|测试|运维类,"节日礼物,年底双薪,带薪年假,午餐补助",后端开发,北京
105,北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,朝阳区,Python研发工程师,3-5年,本科,25k-50k,牛人多，氛围好，发展快,"移动互联网,金融",开发|测试|运维类,"定期体检,股票期权,弹性工作,领导好",后端开发,北京
106,华控清交信息科技（北京）有限公司,清交科技,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,清华控股，融资过亿，带薪年假，免费午餐,数据服务,开发|测试|运维类,,后端开发,北京
107,上海骞云信息科技有限公司,CloudChef,50-150人,B轮,杨浦区,Python开发工程师,1-3年,本科,10k-20k,扁平化管理、六险二金、团建活动、年度旅游,"企业服务,数据服务",开发|测试|运维类,"股票期权,带薪年假,定期体检,弹性工作",后端开发,上海
108,四川电科网安科技有限公司,电科网安,50-150人,未融资,双流区,python爬虫工程师,3-5年,本科,13k-18k,欢迎加入，你会看到闪亮的自己！,信息安全,开发|测试|运维类,,后端开发,成都
109,深圳寻找母星网络科技有限公司,寻找母星,50-150人,A轮,南山区,python工程师,1-3年,本科,15k-25k,风口行业、明星团队、晋升空间大、待遇优厚,"移动互联网,消费生活",开发|测试|运维类,"股票期权,带薪年假",后端开发,深圳
110,深圳战吼网络科技有限公司,战吼,15-50人,A轮,南山区,【实习】游戏后台 C#/Python 开发,在校/应届,本科,3k-4k,"跟大牛学习,可转正，工作气氛活跃","移动互联网,社交",开发|测试|运维类,"股票期权,全球市场,自带光环",后端开发,深圳
111,广东盛迪嘉电子商务股份有限公司,盛迪嘉支付,500-2000人,不需要融资,南山区,python开发工程师,3-5年,本科,15k-25k,团队氛围好 发展潜力大,"移动互联网,金融",开发|测试|运维类,"年底双薪,带薪年假,绩效奖金,交通补助",运维,深圳
112,微诺（深圳）科技有限公司,微诺,50-150人,不需要融资,宝安区,python开发,3-5年,本科,15k-30k,交通便利、团队活泼、薪资优厚、腾讯系,移动互联网,开发|测试|运维类,"带薪年假,定期体检,扁平管理",后端开发,深圳
113,深圳视界信息技术有限公司,八爪鱼,50-150人,A轮,南山区,Python工程师,1-3年,本科,12k-24k,AI+大数据；氛围活跃；新技术,数据服务,开发|测试|运维类,"重职业规划,团队有趣高效,大数据+AI,加班调休",后端开发,深圳
114,深圳看到科技有限公司,看到科技,50-150人,B轮,南山区,Python开发工程师,1-3年,本科,10k-15k,"周末双休,五险一金,弹性工作,年终奖金","移动互联网,文娱丨内容",开发|测试|运维类,"年底双薪,绩效奖金,股票期权,五险一金",后端开发,深圳
115,深圳点猫科技有限公司,编程猫,2000人以上,C轮,东城区,Python培训讲师,3-5年,本科,8k-15k,"弹性,提成多多,五险一金,饭补","移动互联网,教育",教育|培训,"专项奖金,股票期权,岗位晋升,扁平管理",培训,北京
116,深圳点猫科技有限公司,编程猫,2000人以上,C轮,天河区,编程猫少儿编程教师（Python方向）,1-3年,本科,8k-12k,行业前景大、个人成长快、五险一金、双休,"移动互联网,教育",教育|培训,"专项奖金,股票期权,岗位晋升,扁平管理",教师,广州
117,深圳十方融海科技有限公司,十方融海集团,150-500人,A轮,南山区,python后端开发工程师,1-3年,本科,8k-12k,互联网环境 年轻团队 绩效奖金,"移动互联网,教育",开发|测试|运维类,"美女多,弹性工作,扁平管理,午餐补助",后端开发,深圳
118,同方知网（北京）技术有限公司,知网,2000人以上,上市公司,海淀区,python研发工程师,1-3年,本科,10k-15k,六险二金 免费早午餐 年终奖金 宿舍班车,"移动互联网,电商",开发|测试|运维类,"美女多多,带薪年假,绩效奖金,岗位晋升",后端开发,北京
119,上海心莲信息科技有限公司,大亲家,15-50人,A轮,闵行区,Python 后端开发工程师,5-10年,本科,20k-40k,"氛围好,90后团队,各种大神,租房便宜","移动互联网,社交",开发|测试|运维类,"帅哥多,美女多,弹性工作,扁平管理",后端开发,上海
120,风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,南山区,课程设计师（python方向）,1-3年,本科,10k-20k,大牛多，职位发展前景好。,"移动互联网,教育",教育|培训,"专项奖金,带薪年假,定期体检,六险一金",培训,深圳
121,北京果壳互动科技传媒有限公司,果壳,150-500人,C轮,朝阳区,高级python开发工程师,5-10年,本科,20k-40k,多元业务 ；团队融洽；快速成长；七险一金；,"移动互联网,社交",开发|测试|运维类,"技能培训,年度旅游,岗位晋升,家庭式三餐",后端开发,北京
122,深圳平安综合金融服务有限公司,平安金服,2000人以上,上市公司,浦东新区,Python数据开发工程师,5-10年,本科,20k-40k,银行体系内部编制,金融,开发|测试|运维类,,数据开发,上海
123,北京鸿盈信息技术有限公司,360,2000人以上,上市公司,天河区,Python开发工程师（数据开发方向）,3-5年,本科,15k-25k,千万日活，全球2W服务器,信息安全,开发|测试|运维类,"专项奖金,年底双薪",后端开发,广州
124,深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,南山区,全栈开发工程师（偏PYTHON后端）,1-3年,本科,15k-25k,全额五险一金，补充年假，15薪，餐补,金融,开发|测试|运维类,"激情的团队,股票期权,努力变大牛,有舞台给您跳",后端开发,深圳
125,爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,python开发工程师-机器人,3-5年,本科,15k-30k,人工智能 创业氛围,"移动互联网,企业服务",开发|测试|运维类,"国际化团队,计算机视觉,语音识别,自然语言理解",后端开发,北京
126,成都萌想科技有限责任公司,萌想科技,150-500人,B轮,高新区,python后端开发工程师,1-3年,本科,10k-15k,五险一金、平台大、大牛、周末双休、年终奖,企业服务,开发|测试|运维类,"美女多,技能培训,扁平管理,领导好",后端开发,成都
127,深圳数池科技有限公司,数池科技,15-50人,天使轮,南山区,python开发工程师,3-5年,本科,13k-20k,硅谷技术团队 前沿技术 追求**,"企业服务,社交",开发|测试|运维类,"扁平管理,领导好,网红营销,新媒体营销",后端开发,深圳
128,北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,福田区,Python后端开发工程师,3-5年,本科,15k-30k,上市公司 前景佳 氛围好 牛人多,"数据服务,企业服务",开发|测试|运维类,"节日礼物,年底双薪,带薪年假,午餐补助",后端开发,深圳
129,上海骏众网络科技有限公司,分众游戏,2000人以上,上市公司,黄浦区,游戏Python开发工程师（Ruby开发）,3-5年,本科,18k-25k,发展前景好，产品项目好,"移动互联网,游戏",开发|测试|运维类,"年底双薪,股票期权,带薪年假,扁平管理",后端开发,上海
130,上海倾听信息技术有限公司,蜻蜓FM,150-500人,D轮及以上,朝阳区,Python 后端开发（北京）,1-3年,本科,18k-36k,发展前景优，工作氛围轻松,移动互联网,开发|测试|运维类,"明星直播,男女1:1,带薪年假,扁平管理",后端开发,北京
131,北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,Python Web开发工程师,3-5年,本科,15k-23k,跟技术大牛一起遨游，下午茶零食,企业服务,开发|测试|运维类,"年底双薪,节日礼物,年度旅游,岗位晋升",后端开发,北京
132,北京红棉小冰科技有限公司,小冰,50-150人,A轮,海淀区,python开发工程师,不限,本科,15k-25k,AI研发团队，发展前景广阔,人工智能,开发|测试|运维类,,后端开发,北京
133,爱客科技（深圳）有限公司,AfterShip,150-500人,不需要融资,南山区,Python 工程师,1-3年,本科,12k-23k,全球项目、高薪资、高福利、国际团队,电商,开发|测试|运维类,"持续盈利,国际龙头企业,SaaS平台,极客氛围",后端开发,深圳
134,上海沪万智能科技有限公司,沪万智能科技,15-50人,不需要融资,普陀区,Python 应用开发工程师,3-5年,本科,10k-15k,新颖技术栈、完整技术框架、职能培训、升职机制,"移动互联网,硬件",开发|测试|运维类,,后端开发,上海
135,深圳市陀螺传媒有限公司,陀螺科技,150-500人,天使轮,福田区,Python技术经理,3-5年,大专,18k-32k,发展潜力大，牛逼团队，扁平化管理,"广告营销,文娱丨内容",开发|测试|运维类,"股票期权,带薪年假,扁平化,交通补助",后端开发,深圳
136,深圳淘乐网络科技有限公司,淘乐网络,150-500人,不需要融资,南山区,游戏客户端开发（python）,不限,本科,8k-16k,免费三餐 年终奖金包 弹性工作制,游戏,开发|测试|运维类,"骨干配车,免费三餐,五险一金,年度旅游",前端开发,深圳
137,上海茗日智能科技有限公司,MRS,15-50人,A轮,黄浦区,Python后端开发工程师（应用开发方向）,1-3年,本科,15k-30k,人工智能、前沿科技、技术大牛、五险一金,企业服务,开发|测试|运维类,"人工智能,影响行业,技能培训,岗位晋升",后端开发,上海
138,上海茗日智能科技有限公司,MRS,15-50人,A轮,黄浦区,Python后端开发工程师（平台研发方向）,1-3年,本科,18k-36k,人工智能、前沿科技、技术大牛、交通便利,企业服务,开发|测试|运维类,"人工智能,影响行业,技能培训,岗位晋升",后端开发,上海
139,北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,Python开发工程师（web端开发经验）,3-5年,本科,15k-23k,财税领域，公司自有产品，下午茶零食,企业服务,开发|测试|运维类,"年底双薪,节日礼物,年度旅游,岗位晋升",后端开发,北京
140,北京棕榈创想科技有限公司,PALMAX,150-500人,A轮,高新区,python开发工程师,3-5年,本科,10k-20k,五险一金 试用期全薪 餐补 14薪,移动互联网,开发|测试|运维类,"绩效奖金,交通补助,定期体检,午餐补助",后端开发,成都
141,达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,浦东新区,python实施工程师,1-3年,本科,8k-14k,六险一金 股权激励 项目红包 团队建设,人工智能,开发|测试|运维类,"AI人工智能,NLP,技术领先,市场口碑佳",后端开发,上海
142,一起长大（上海）信息科技有限公司,一起长大,15-50人,A轮,浦东新区,Python服务端研发工程师,1-3年,本科,12k-20k,扁平管理 结果导向 分享精神 前沿技术,教育,开发|测试|运维类,"股票期权,带薪年假,岗位晋升,五险一金",后端开发,上海
143,北京天空卫士网络安全技术有限公司,北京天空卫士网络安全,150-500人,A轮,高新区,Python 中级开发工程师,3-5年,本科,12k-16k,五险一金，股票股权，补充医疗，定期体检,"信息安全,移动互联网",开发|测试|运维类,"入职分股票,住房通迅补贴,年内启动B轮,薪水高",后端开发,成都
144,上海触乐信息科技有限公司,触宝,500-2000人,上市公司,闵行区,广告平台开发工程师（Python/Go）,1-3年,本科,15k-30k,美股上市 牛人团队 亿级日活 福利待遇佳,"移动互联网,数据服务",开发|测试|运维类,"美股上市,行业独角兽,年底双薪,绩效奖金",后端开发,上海
145,汉熵通信有限公司,汉熵通信有限公司,50-150人,不需要融资,海淀区,python后端工程师（AI方向）,1-3年,本科,10k-20k,精英团队 公司高速发展 扁平管理,"信息安全,物联网",开发|测试|运维类,"股票期权,带薪年假,定期体检,扁平管理",后端开发,北京
146,江曲投资咨询（上海）有限公司,Student.com,150-500人,C轮,静安区,Python高级开发工程师,5-10年,本科,15k-30k,活力团队，技术牛人,电商,开发|测试|运维类,"技能培训,带薪年假,岗位晋升,五险一金",后端开发,上海
147,上海触乐信息科技有限公司,触宝,500-2000人,上市公司,闵行区,后端开发工程师（Python/Java）,1-3年,本科,15k-25k,美股上市 超长年假 大牛云集 核心团队,"移动互联网,数据服务",开发|测试|运维类,"美股上市,行业独角兽,年底双薪,绩效奖金",后端开发,上海
