,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
68,上海西樵软件有限公司,西樵软件,50-150人,未融资,浦东新区,java开发工程师,3-5年,本科,11k-17k,微服务，技术新,"金融,软件开发",开发|测试|运维类,,后端开发,上海
69,深圳市云积分科技有限公司,云积互动,150-500人,天使轮,雁塔区,java开发工程师,5-10年,本科,12k-24k,双休、年终奖、节日福利、五险一金,"企业服务,移动互联网",开发|测试|运维类,"带薪年假,年轻团队,股票期权,下午茶",后端开发,西安
70,上海星艾网络科技有限公司,么么直播,50-150人,不需要融资,闵行区,高级Java开发工程师,3-5年,本科,20k-35k,行业好，发展潜力大，氛围好，福利好,"移动互联网,社交",开发|测试|运维类,"扁平管理,节日礼物,年度旅游,五险一金",后端开发,上海
71,武汉楚匠网络科技有限公司,楚匠网络,15-50人,未融资,江汉区,java高级开发工程师,3-5年,大专,12k-20k,"发展空间大,薪资有竞争力",软件开发,开发|测试|运维类,"每日餐补,绩效奖金,专项奖金,年度旅游",后端开发,武汉
72,北京金鸿睿信息科技有限公司,金鸿睿,15-50人,未融资,海淀区,java开发工程师,3-5年,大专,13k-18k,发展空间大、快速提升自己,"数据服务,软件开发",开发|测试|运维类,,后端开发,北京
73,亿达信息技术有限公司,亿达信息,2000人以上,上市公司,南山区,java开发工程师,3-5年,本科,13k-17k,六险一金、年终奖、周末双休,"企业服务,人工智能",开发|测试|运维类,,后端开发,深圳
74,中邮信息科技（北京）有限公司,中邮信息科技（北京）有限公司,500-2000人,不需要融资,西城区,java开发工程师,3-5年,本科,15k-30k,补充医疗、企业年金、年度体检、食堂、补贴,"移动互联网,其他",开发|测试|运维类,"技能培训,六险二金,多样技术环境,平台稳定",后端开发,北京
75,上海星艾网络科技有限公司,么么直播,50-150人,不需要融资,闵行区,Java开发工程师,1-3年,本科,15k-30k,直播社交 独角兽企业，福利待遇完善,"移动互联网,社交",开发|测试|运维类,"扁平管理,节日礼物,年度旅游,五险一金",后端开发,上海
76,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,高级java开发工程师,3-5年,本科,25k-50k,福利好,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
77,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,java高级开发工程师,3-5年,本科,15k-30k,短视频头部 福利多多 薪酬高,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
78,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,java开发工程师,3-5年,本科,30k-40k,发展空间大、福利好、免费三餐,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
79,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,越秀区,java工程师,3-5年,本科,15k-25k,大平台，成长空间大，福利好,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,广州
80,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,南山区,高级Java开发工程师（物联网）,5-10年,本科,15k-30k,"独角兽,行业精英","移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,深圳
81,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,余杭区,Java开发工程师（saas业务）,3-5年,本科,15k-30k,行业发展迅猛,"移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
82,深圳市德科科技有限公司,德科科技,15-50人,未融资,南山区,java开发工程师,1-3年,本科,8k-16k,和有理想的年轻人一起工作,企业服务,开发|测试|运维类,"带薪年假,绩效奖金,岗位晋升,年度旅游",后端开发,深圳
83,北京集顺工程咨询有限公司,龙湖集团,2000人以上,上市公司,朝阳区,java开发工程师,5-10年,本科,18k-25k,大平台、福利优,其他,开发|测试|运维类,,后端开发,北京
84,北京藜麦信息技术有限责任公司,藜麦信息,50-150人,不需要融资,昌平区,java开发工程师,1-3年,本科,10k-15k,十三薪，带薪年假，饭补，加班费，五险一金,"移动互联网,数据服务",开发|测试|运维类,"年底双薪,股票期权,带薪年假,定期体检",后端开发,北京
85,上海艾融软件股份有限公司,艾融股份,500-2000人,上市公司,浦东新区,java开发工程师,不限,本科,10k-18k,五险一金、晋升机制、团队氛围和谐,"移动互联网,金融",开发|测试|运维类,"互联网金融,股票期权,顶级银行工程,技术大牛",后端开发,上海
86,上海浩宜信息科技有限公司,上海浩宜信息科技有限公司,150-500人,不需要融资,天河区,java开发工程师,1-3年,本科,8k-15k,做五休二，季度绩效、五险一金、定期团建,"数据服务,人工智能",开发|测试|运维类,"绩效奖金,定期体检,股票期权,通讯津贴",后端开发,广州
87,深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,南山区,java开发工程师,3-5年,本科,14k-25k,SpringBoot、Spring Cloud、SpringMVC,"企业服务,软件开发",开发|测试|运维类,,后端开发,深圳
88,维恩贝特科技有限公司,维恩贝特,500-2000人,上市公司,南山区,Java开发工程师,3-5年,本科,13k-16k,提供腾讯班车，食堂，平台好，高薪资福利待遇,电商,开发|测试|运维类,"年底双薪,五险一金,通讯津贴,交通补助",后端开发,深圳
89,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,高级Java开发工程师,3-5年,本科,30k-60k,"年终奖,一日三餐,下午茶,住房补贴",文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
90,北京达佳互联信息技术有限公司,快手,2000人以上,D轮及以上,海淀区,Java开发工程师,不限,本科,18k-25k,福利好,文娱丨内容,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",后端开发,北京
91,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,java开发工程师,3-5年,本科,25k-50k,三餐免费，春节10天假，大厂有的我们都有,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
92,贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,Java开发工程师,3-5年,本科,20k-30k,六险二金，包三餐，福利好,房产家居,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,扁平管理",后端开发,北京
93,杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,Java架构师-SaaS平台,5-10年,本科,25k-40k,发展前景 IoT AI,"移动互联网,硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",后端开发,杭州
